Blog	four	looking	here	until	want	feature	how	re	tech	than	best	much	life	things	had	has	right	old	people	support	time	love	such	data	their	so	years	internet	million	one	open	future	say	take	going	where	many	being	around	world	favorite	her	am	an	as	at	tv	small	past	social	more	company	its	always	found	really	number	also	set	see	movie	couple	d	be	by	into	up	us	ago	results	try	video	let	great	makes	next	high	doing	could	system	should	hope	means	email	ve	off	less	web	become	does	work	after	then	them	they	another	john	what	do	we	com	night	post	months	way	was	live	car	can	product	still	not	now	year	online	america	only	between	learning	these	media	real	read	t	your	aren	start	lot	since	very	almost	site	help	actually	event	ask	latest	pretty	during	won	both	else	look	while	used	game	some	doesn	youtube	go	facebook	started	links	including	need	able	based	probably	she	i	well	twitter	home	he	using	even	new	ever	never	call	tell	before	better	side	content	isn	seen	don	m	bad	said	against	three	if	make	left	just	super	down	me	did	making	may	man	maybe	talk	nbsp	thing	think	first	long	little	anyone	were	show	get	reading	according	those	different	same	money	again	important	public	two	through	someone	everyone	house	hard	idea	least	part	most	find	point	simple	create	big	bit	google	often	back	from	power	ll	day	have	thought	add	smart	like	about	but	every	would	my	keep	end	over	writing	each	got	free	days	already	top	too	took	though	full	news	been	several	everything	no	when	says	today	trump	turn	place	white	any	ideas	later	state	come	case	good	week	without	blog	or	there	all	far	design	might	feel	story	his	him	wrote	art	are	recently	know	question	called	users	once	apple	use	few	something	instead	our	out	which	who	why	stories	job	last	will	other	because	getting	own	made	book
mezzoblue	0	0	1	0	0	0	2	1	0	0	0	1	0	0	0	1	1	1	0	3	0	0	0	0	0	1	3	1	0	2	0	0	0	1	0	1	0	1	0	0	0	0	0	1	4	0	0	0	3	0	0	0	1	0	1	0	1	1	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	1	0	6	0	0	3	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	1	2	1	0	0	1	0	1	2	1	0	0	0	0	0	0	1	0	0	0	4	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	1	1	0	1	1	0	0	0	1	1	0	0	0	0	1	0	12	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	2	0	0	0	1	2	0	0	0	1	4	0	0	3	0	0	4	0	0	1	2	0	0	0	1	0	0	0	1	3	0	0	1	2	0	2	0	0	0	0	1	0	0	1	2	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	2	1	0	0	0	0	0	1	0	0	0	1	0	0
Eschaton	1	0	1	1	4	0	2	6	0	3	0	10	0	3	5	10	6	2	17	4	6	2	2	0	11	5	2	0	7	6	0	1	7	2	3	2	2	0	1	3	0	9	2	10	10	7	0	1	2	0	7	2	1	4	2	2	1	2	1	0	0	0	1	7	11	1	4	3	1	0	2	0	1	0	1	0	1	0	3	7	3	1	6	2	3	4	0	0	2	2	1	6	4	8	10	3	1	2	9	19	0	3	0	5	4	6	0	0	5	1	1	10	3	4	2	3	6	2	2	8	0	0	0	15	3	2	0	4	0	0	1	0	1	1	0	0	1	0	1	2	2	3	0	3	2	2	7	2	0	4	0	1	0	2	3	1	1	0	2	28	2	1	1	7	0	0	2	0	6	2	0	1	0	0	0	2	1	5	6	1	7	2	3	4	5	2	4	0	3	2	2	4	0	0	2	1	0	4	2	0	3	3	1	2	0	9	0	1	3	2	1	13	3	0	11	2	5	0	1	1	1	1	2	0	5	1	5	0	2	3	1	0	0	3	11	2	0	2	20	1	0	0	5	9	11	4	4	2	4	0	1	0	0	1	10	1	3	2	3	0	0	0	0	7	0	0	3	2	1	0	7	0	1	1	1	1	2	4	0	1	5	1	2	1	13	6	6	0	0	1	0	0	5	1	0	0	9	0	1	1	0	0	1	0	0	0	2	0	1	9	7	8	0	0	1	1	4	0	5	0	0	0	0
ShoeMoney	0	1	14	0	1	0	9	5	3	2	1	1	0	0	0	1	2	0	0	0	5	1	0	3	3	5	1	3	2	5	0	2	0	2	5	0	1	1	1	4	0	0	1	5	6	2	1	0	2	4	7	1	3	1	0	4	1	0	0	0	1	0	0	4	1	5	3	4	0	0	1	0	4	0	2	0	0	1	1	0	1	0	0	0	1	0	0	1	0	3	3	2	3	5	5	0	0	13	3	8	0	0	0	0	3	2	0	0	7	1	3	6	3	4	3	0	2	0	2	2	4	3	1	4	11	2	1	1	0	5	0	0	0	1	0	0	2	0	0	0	0	0	4	1	0	0	5	0	0	0	0	2	0	0	1	0	1	0	0	8	0	0	0	2	2	3	3	1	0	0	3	0	0	3	2	1	1	0	3	0	0	0	0	3	0	0	2	0	0	1	1	3	2	1	1	0	0	0	3	1	0	1	0	0	2	4	1	1	0	3	0	3	0	0	0	0	1	0	3	0	1	0	0	0	2	0	0	1	0	4	0	0	0	1	4	1	1	0	8	0	0	0	2	6	11	0	3	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	1	2	2	1	0	3	0	1	0	2	0	0	0	1	0	0	0	0	1	0	0	1	5	0	1	0	0	0	0	4	1	0	0	0	15	0	2	0	0	0	0	0	0	0	0	1	8	3	0	2	8	0	0	0	6	1	1	3	1	0	0
Slashdot	1	1	0	1	1	2	4	3	4	3	2	3	0	5	5	21	2	3	3	1	2	0	3	7	12	5	2	0	5	5	0	6	0	1	1	2	4	6	2	6	0	0	0	11	20	31	1	2	0	0	18	6	15	1	1	0	1	6	0	4	0	0	0	13	12	4	5	4	1	0	0	0	0	0	0	2	2	0	8	5	1	1	0	0	6	1	2	7	1	0	0	3	1	4	10	1	0	4	4	9	0	0	1	0	3	10	0	1	9	3	0	12	11	2	2	0	3	3	6	4	0	1	15	9	1	2	0	0	4	1	2	1	0	0	0	0	1	0	2	2	1	2	0	2	3	0	0	2	0	0	8	1	0	3	0	3	0	1	0	2	1	0	3	2	4	3	10	3	4	1	0	2	2	0	2	0	3	0	0	2	8	1	1	6	1	0	2	0	2	0	1	1	0	0	0	0	0	0	0	6	2	1	0	4	0	2	0	3	0	0	2	2	1	0	2	2	5	0	1	0	1	1	0	2	2	1	0	4	1	2	0	7	0	0	24	1	0	0	16	2	0	1	5	12	17	0	6	0	0	1	7	1	2	1	1	0	4	2	1	2	0	0	0	8	0	2	2	4	1	1	0	2	1	0	5	0	0	7	1	1	2	4	3	0	10	3	10	1	1	2	0	15	3	0	2	0	15	2	2	0	0	8	1	5	2	2	0	1	11	5	5	6	3	0	1	3	7	1	3	1	1	0	0
Matt Cutts: Gadgets, Google, and SEO	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	3	0	0	4	1	1	0	0	0	2	2	2	0	0	3	0	0	0	1	0	0	1	0	1	2	0	0	0	2	3	2	0	0	0	1	2	0	0	0	0	1	0	2	0	1	0	2	1	0	0	0	0	6	1	0	1	0	0	1	0	2	0	0	1	0	0	0	1	0	4	1	0	2	0	1	2	1	0	2	2	0	0	1	1	2	0	0	0	1	1	6	0	0	2	0	1	1	2	4	0	0	0	0	0	1	1	0	1	4	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	23	0	0	0	4	0	0	0	0	0	0	2	0	1	0	1	0	2	0	0	0	0	0	1	1	2	1	3	0	0	1	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	3	1	0	0	0	0	4	0	0	0	0	1	1	0	1	2	0	0	1	0	0	0	1	0	0	0	7	0	0	4	0	0	3	2	0	0	0	2	9	3	1	1	7	0	1	2	0	1	0	0	0	0	0	1	2	0	0	1	2	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	3	2	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	4	0	0	1	0	0	0	0
Gothamist	0	1	4	2	0	0	4	2	0	7	5	2	2	3	5	8	2	12	12	1	5	2	0	0	5	5	3	2	4	8	1	0	2	1	0	1	2	3	1	1	0	4	0	8	15	14	0	0	0	0	47	1	3	2	0	1	0	6	0	2	0	0	0	3	5	3	10	4	1	0	0	1	1	3	1	1	0	1	1	3	1	0	0	0	1	2	0	0	0	0	1	9	1	2	3	0	0	2	5	9	0	7	1	0	0	21	1	0	6	0	3	1	5	17	0	2	2	1	0	1	1	0	0	5	5	0	2	0	2	2	2	0	0	1	0	0	1	0	2	3	0	0	0	1	4	0	7	0	3	0	3	0	3	1	2	0	0	0	2	5	1	3	2	11	1	0	22	4	1	1	0	1	0	13	0	0	2	1	0	0	1	3	2	2	3	1	7	0	8	1	0	1	0	4	0	1	13	0	0	3	1	1	1	7	2	7	0	3	1	0	0	2	4	0	1	4	1	0	0	2	1	0	2	2	5	0	2	1	0	0	0	0	0	2	11	1	0	3	4	0	0	0	4	5	6	1	1	2	1	2	8	0	0	1	0	5	1	3	2	1	0	0	0	1	3	0	1	7	1	3	11	1	1	3	1	1	2	3	1	0	2	3	0	0	3	3	4	2	1	0	0	2	11	2	0	2	8	0	0	0	2	0	1	4	2	1	0	0	4	5	4	12	0	3	2	11	2	2	5	0	2	2	0
Techdirt.	1	3	15	4	10	0	40	14	4	31	9	23	8	13	47	58	35	7	27	12	24	11	19	8	54	50	39	41	5	46	6	8	11	14	8	17	23	27	8	24	2	2	3	66	158	91	0	5	6	25	61	9	56	4	8	2	6	32	4	22	8	3	21	134	91	30	39	39	3	7	5	10	7	8	6	3	5	8	29	8	19	3	6	28	13	10	6	6	8	15	20	17	13	27	69	11	18	54	36	87	8	0	11	4	24	121	4	3	62	4	15	98	27	19	17	6	23	15	3	33	19	7	10	87	20	3	6	2	7	16	9	9	7	20	6	3	4	5	7	6	14	6	5	20	7	6	34	11	3	7	3	4	3	15	6	3	6	2	6	115	26	3	5	56	7	32	36	3	9	6	4	14	6	5	74	10	4	11	13	4	11	18	2	46	30	10	41	3	13	19	19	14	21	4	3	3	9	11	9	35	11	8	12	39	4	14	4	7	32	4	12	5	12	15	46	17	8	8	6	4	7	4	7	18	15	9	13	3	8	2	2	8	29	21	82	10	0	9	84	5	2	0	32	77	78	10	42	30	10	14	31	8	9	6	7	5	10	1	19	3	6	3	17	45	9	2	34	37	7	7	9	7	9	4	32	4	12	26	8	16	10	11	18	7	120	31	61	14	1	15	2	26	47	22	8	1	70	5	14	2	6	28	6	2	16	12	17	6	48	30	45	47	9	9	7	19	31	41	24	1	22	10	3
Joi Ito's Web	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	2	0	1	0	1	0	0	2	4	1	0	1	0	1	0	0	0	0	2	1	1	0	0	3	0	1	3	5	1	0	0	1	2	0	0	0	1	0	0	1	0	1	0	0	3	2	1	1	0	2	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	1	1	0	1	0	2	2	4	5	0	0	1	0	0	6	3	0	0	0	0	0	0	3	0	0	1	0	1	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	1	0	0	0	3	0	0	0	0	0	0	0	4	20	0	0	1	0	0	0	5	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0	1	2	3	0	0	0	0	0	3	0	0	0	3	1	1	0	2	1	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	4	0	0	3	4	0	0	0	0	7	0	1	1	8	0	0	3	0	1	1	0	0	0	0	0	1	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	1	0	0	3	2	3	1	0	0	0	0	1	0	0	3	2	0	0	0	0	1	3	0	1	0	0	0	0	8
ongoing by Tim Bray	0	0	5	0	3	0	1	14	0	2	1	3	3	1	3	4	1	1	0	0	6	4	0	0	1	6	1	0	0	6	1	0	2	1	0	0	1	0	3	0	0	3	1	11	4	3	0	1	2	0	2	0	1	0	0	0	0	0	2	0	0	0	1	13	12	0	3	0	0	0	1	2	3	3	0	0	1	0	1	0	0	0	0	0	4	3	0	0	0	0	1	0	2	1	5	0	2	1	3	9	2	0	1	0	3	8	3	2	3	0	2	5	5	2	0	0	0	0	0	1	0	0	0	5	1	0	3	3	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0	3	0	0	14	0	0	3	0	0	0	0	1	1	0	0	2	30	2	0	1	4	0	2	3	0	0	2	0	0	0	1	0	1	0	2	4	0	1	0	1	5	0	0	2	0	1	3	0	0	3	0	2	3	0	3	3	5	4	0	1	1	1	2	0	0	1	0	0	0	0	0	1	2	0	0	0	0	3	0	0	1	5	0	1	0	0	3	2	0	0	5	11	0	6	13	4	1	1	0	3	5	11	0	3	3	1	2	0	0	1	3	0	2	0	2	2	0	1	3	0	3	0	0	4	0	0	1	0	1	1	5	4	0	0	0	0	0	3	0	0	1	6	4	5	2	0	1	0	0	7	1	1	1	4	0	2	0	2	0	1	0	1	2	0	0	1	4	4	5	0	0	0	1	1	0	0	0	0	1	0
The Viral Garden	5	10	25	0	34	0	60	4	0	10	7	6	2	6	40	13	7	2	68	2	26	2	8	0	72	62	6	0	0	40	2	1	6	7	10	18	25	21	7	4	2	5	25	43	88	59	1	5	2	135	64	13	11	6	10	10	5	10	0	22	0	6	5	78	24	9	23	16	5	5	4	0	8	13	4	9	1	13	8	0	16	2	5	3	20	5	5	1	10	5	17	8	23	50	90	9	1	44	40	48	22	3	43	7	27	94	3	0	42	2	14	23	19	19	8	2	16	2	2	25	123	3	10	86	70	10	4	14	3	23	2	12	10	11	28	3	2	3	5	11	6	8	2	8	1	1	17	2	0	14	14	14	9	1	8	2	0	12	2	340	12	61	0	17	30	19	21	3	10	1	11	11	10	1	15	6	3	15	18	3	13	0	3	61	20	10	21	1	2	57	13	4	12	1	4	1	14	17	32	23	8	3	3	36	5	21	8	2	12	3	16	3	3	4	0	8	4	14	10	0	0	18	5	7	23	9	6	2	10	12	8	0	9	20	44	5	17	17	61	11	9	2	27	48	80	10	31	68	3	5	15	5	5	10	6	10	2	4	6	10	5	3	1	11	9	0	19	38	0	4	0	2	3	0	8	6	5	1	8	8	17	5	2	48	38	37	34	1	0	5	2	2	8	3	7	0	104	6	22	0	5	10	3	1	20	26	9	5	7	27	19	16	21	3	1	12	47	19	38	6	24	8	0
The Official Google Blog	2	4	9	3	9	11	17	61	3	12	6	1	5	4	2	19	14	2	27	5	21	5	1	23	43	18	10	19	2	19	7	4	9	12	1	7	5	0	9	11	7	7	0	21	35	33	6	4	5	2	43	4	6	7	2	0	2	32	4	14	11	0	5	26	31	21	32	8	2	4	3	7	4	5	4	6	2	0	1	0	2	2	9	3	21	4	1	4	3	1	7	3	7	13	31	2	0	13	9	85	2	0	1	2	14	15	8	2	82	0	2	4	15	13	18	3	13	3	5	24	4	2	0	14	102	2	8	0	6	0	2	2	33	0	2	3	4	0	3	3	7	3	7	8	7	14	16	2	14	15	0	3	0	4	13	4	2	2	1	22	4	0	8	0	13	14	40	4	4	10	2	5	10	0	5	0	3	3	2	0	0	3	5	23	23	8	25	4	5	5	1	8	2	0	1	5	0	2	2	11	3	2	3	9	2	26	0	1	9	4	6	2	0	8	1	7	11	1	3	1	3	0	2	7	16	9	2	1	19	3	2	99	4	10	48	2	18	17	25	0	3	2	23	22	16	4	2	11	17	1	8	0	5	4	6	4	3	9	5	1	2	2	26	7	0	2	5	21	3	17	1	1	5	1	10	3	1	5	5	0	3	6	6	0	54	13	16	0	7	4	7	2	6	0	0	3	42	2	4	2	2	7	5	0	19	12	1	2	34	26	14	15	6	13	3	8	29	17	5	4	6	2	6
Neil Gaiman's Journal	7	1	37	6	16	0	20	12	0	12	7	23	8	49	42	20	10	11	44	4	34	21	10	0	19	61	22	5	3	42	1	0	2	11	27	23	15	8	7	16	0	12	20	39	52	55	8	6	2	3	33	1	5	5	6	23	3	11	10	19	3	9	23	104	71	14	36	22	28	2	2	7	8	2	5	11	4	27	21	0	12	15	7	3	31	10	6	0	2	6	22	12	30	43	48	10	1	36	40	53	28	11	6	7	8	110	4	0	44	0	11	61	28	43	3	3	22	7	1	14	4	2	27	53	25	1	1	13	5	17	10	0	10	7	8	4	1	3	4	5	5	5	8	10	3	0	35	3	2	23	3	10	4	4	13	1	3	7	11	434	9	3	4	50	3	30	40	9	12	1	9	18	6	4	1	8	3	12	61	5	15	1	8	62	24	6	22	0	4	64	20	7	9	11	3	5	307	20	7	21	11	9	4	22	6	33	15	1	5	8	9	18	5	1	7	23	9	10	9	2	8	6	2	6	9	14	1	1	1	6	17	2	2	23	62	3	20	13	66	8	0	2	42	46	47	3	38	81	6	2	21	24	8	23	4	23	2	0	19	9	3	1	2	27	5	6	11	24	1	3	0	4	6	2	12	4	6	0	5	4	24	7	5	13	62	58	49	1	4	4	7	8	31	18	11	12	65	0	11	1	6	0	4	1	0	13	22	8	8	54	31	48	4	12	2	21	58	17	34	8	8	14	64
Signal v. Noise - Medium	0	2	11	0	14	3	34	42	0	10	9	15	10	17	19	14	2	1	32	6	22	0	9	5	15	27	5	0	1	65	1	3	8	7	19	17	14	1	8	14	4	2	0	35	46	39	0	3	2	3	36	5	4	4	3	16	1	12	6	9	0	3	5	37	30	8	23	10	5	0	4	0	2	6	3	10	2	14	3	3	9	2	7	1	16	6	9	2	1	7	26	6	16	13	36	1	0	38	34	83	5	0	0	2	7	34	1	0	47	5	10	39	10	12	1	0	8	2	2	14	1	4	3	60	30	4	2	6	3	5	5	0	10	5	2	6	2	3	12	1	3	4	5	6	6	0	26	7	7	7	3	3	1	2	12	4	4	0	3	81	9	0	2	4	3	17	14	7	4	3	0	5	15	7	3	5	1	23	11	3	2	1	4	32	24	1	20	0	3	10	3	5	6	1	3	4	0	6	8	7	4	4	0	8	1	22	2	0	3	8	15	5	5	3	0	6	15	6	6	1	2	2	1	2	13	9	1	5	4	4	0	3	6	3	34	3	8	4	32	1	3	0	21	39	44	5	8	31	6	1	16	1	0	1	3	5	3	2	15	4	2	7	0	14	2	2	21	31	0	7	0	1	5	0	3	3	0	5	3	1	10	4	8	0	31	19	41	3	2	6	7	13	1	0	0	4	58	0	13	27	2	0	6	1	7	12	9	3	32	23	14	12	4	2	0	9	7	14	6	3	6	4	1
456 Berea Street	0	0	2	0	1	0	4	0	0	6	1	0	0	1	1	3	0	0	3	1	0	0	0	5	3	6	1	0	0	3	0	0	0	1	1	1	4	2	0	0	0	0	0	4	5	4	0	2	0	0	2	0	7	1	1	3	1	1	3	4	0	1	3	6	3	1	2	0	2	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	3	0	0	4	0	0	1	3	1	2	1	0	0	2	5	2	0	0	4	0	1	6	0	0	6	0	0	4	1	0	0	0	1	0	0	1	0	0	10	11	1	0	0	1	2	1	0	2	2	1	0	0	0	0	0	1	1	0	6	2	2	0	5	1	0	1	0	0	1	0	3	0	0	0	0	30	4	0	0	0	3	3	0	2	1	0	0	2	0	0	1	3	1	4	0	0	0	0	1	4	5	0	1	0	4	2	0	2	5	0	0	0	0	0	3	0	1	1	1	3	0	2	0	1	1	5	1	0	1	1	0	1	1	0	0	0	0	0	3	1	3	1	0	0	0	0	2	0	2	0	4	0	0	0	8	2	1	0	3	2	9	2	0	3	1	0	4	1	2	0	0	0	1	2	2	0	0	12	1	3	1	0	2	7	0	0	0	0	0	0	3	0	0	0	1	1	1	0	1	0	9	6	3	0	2	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	9	0	0	1	0	1	4	1	2	0	0	0	5	0	1	1	1	0	0
Joel on Software	0	0	1	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	2	0	1	2	0	3	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	13	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	2	2	4	0	0	0	0	0	4	0	0	0	1	0	1	1	2	0	0	0	0	0	1	0	0	10	0	1	0	1	1	3	0	0	2	0	0	0	2	0	1	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	6	1	1	0	0	0	1	7	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	0	0	2	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	4	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0
Boing Boing	2	4	6	0	1	0	7	4	2	4	2	3	1	0	8	11	4	5	9	1	1	1	2	0	18	7	5	10	0	15	2	4	4	4	1	9	6	4	3	4	0	18	0	12	30	21	3	0	0	1	19	5	8	3	1	2	3	4	1	4	1	0	4	24	17	12	10	3	2	1	1	4	0	0	1	1	5	3	7	3	0	0	0	0	6	6	1	1	1	1	6	12	3	7	22	1	4	14	5	7	4	2	0	4	4	25	3	2	13	1	3	5	6	6	1	3	2	2	1	13	0	0	0	18	8	0	2	3	2	1	1	2	3	2	0	0	0	0	1	2	2	2	1	4	5	0	4	3	3	1	2	1	0	1	1	0	1	1	10	23	5	1	3	20	3	2	8	0	3	0	1	1	6	0	0	2	2	7	4	2	3	1	2	9	4	2	9	0	3	3	2	4	3	1	1	0	0	3	2	3	1	5	4	8	1	5	0	5	2	0	1	1	0	1	0	2	2	2	5	1	1	1	1	1	7	1	0	2	2	1	0	3	2	4	23	2	1	0	12	3	0	4	10	6	14	1	11	9	0	2	3	0	2	2	2	0	0	2	2	3	0	2	0	11	3	1	8	2	3	0	4	2	1	2	2	0	1	2	1	2	4	1	2	0	7	7	9	3	2	0	0	3	10	11	2	5	16	1	3	0	4	1	1	6	2	2	1	0	2	6	5	10	1	0	4	5	5	5	3	0	4	10	4
The Full Feed from HuffingtonPost.com	0	0	0	1	0	0	0	2	0	2	0	0	0	0	4	1	0	0	0	0	1	0	0	0	1	2	1	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	1	5	3	0	0	1	0	24	0	2	0	0	0	0	1	0	1	0	0	5	0	1	1	0	0	0	4	0	0	0	0	0	1	0	0	4	0	0	0	0	0	1	1	0	0	2	0	0	2	0	0	2	0	1	4	1	1	0	2	2	0	0	6	0	0	3	0	0	2	1	1	0	0	0	0	0	0	0	0	10	5	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	2	0	2	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	2	0	2	1	0	0	0	0	0	1	0	0	0	0	2	1	1	1	3	1	3	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	6	0	0	0	7	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	3	3	0	0	0	6	0	0	0	3	2	4	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	3	0	0	0	0	0	0	0	0	0	0	2	0	0	6	0	0	2	0	0	0	2	0	1	1	0	0	0	0	5	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	1	0	0	0	4	0
Wired	0	0	1	0	1	0	4	1	5	1	0	0	0	1	0	1	2	0	2	0	2	0	0	4	0	2	1	2	0	3	0	0	0	2	0	0	0	0	0	1	0	0	0	3	7	1	2	0	1	1	1	0	4	0	0	0	0	1	0	0	0	0	0	3	0	0	1	4	0	1	1	2	1	1	0	1	0	0	4	0	2	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	3	0	4	0	0	0	0	1	1	1	3	1	0	0	3	3	1	2	1	1	1	1	6	1	0	0	4	7	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	1	0	0	5	2	3	0	0	0	1	0	0	0	0	1	2	1	0	0	1	3	3	1	2	4	1	1	0	0	1	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	6	0	0	2	5	0	0	0	4	0	4	1	0	0	2	0	2	0	0	0	1	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	1	0	1	0	1	0	0	1	1	0	0	10	0	0	0	0	0	0	2	0	1	0	0	3	1	1	0	2	0	2	0	2	0	0	0	0	0	2
WIL WHEATON dot NET	1	2	17	5	21	0	15	11	0	7	9	15	7	9	7	18	16	4	45	0	14	12	3	3	20	59	12	1	0	13	3	5	12	9	10	2	5	7	9	7	2	4	33	22	38	35	1	1	3	1	14	0	8	6	1	17	0	5	7	17	3	0	26	33	14	24	33	6	5	0	3	0	4	4	4	6	1	7	11	0	2	6	4	0	19	4	1	0	3	8	2	12	14	13	27	6	0	32	29	32	0	1	4	2	25	59	4	2	37	0	6	44	18	8	3	5	9	0	3	6	1	5	3	75	18	0	5	11	6	6	3	0	5	5	0	1	2	2	0	3	1	4	5	9	3	9	16	4	2	17	1	2	0	3	12	4	2	3	9	392	5	2	2	55	1	12	6	6	7	2	14	12	5	2	1	10	3	16	38	6	10	0	6	27	10	4	35	2	11	100	9	4	4	1	10	5	2	12	11	13	7	20	7	18	4	15	2	0	9	4	3	2	9	3	2	7	8	2	5	1	3	3	3	1	4	4	7	2	5	4	6	0	0	18	18	2	10	10	40	2	0	2	42	46	66	9	17	74	4	3	10	4	1	7	3	4	3	0	6	4	7	0	10	26	3	8	10	21	7	7	0	0	7	2	10	0	8	1	9	2	7	1	5	7	36	22	26	2	1	0	15	2	19	34	6	0	48	1	21	1	0	1	6	0	2	9	12	6	9	23	11	53	4	0	1	7	22	3	30	0	6	12	2
Creating Passionate Users	0	0	1	0	1	2	3	1	0	0	0	1	0	1	0	2	0	0	1	0	3	1	0	0	0	2	0	0	0	1	0	1	0	0	2	0	0	0	0	0	1	0	1	3	1	4	0	0	0	0	4	0	1	2	0	1	0	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	3	0	1	1	0	2	1	0	0	0	0	0	0	3	2	2	0	0	4	0	0	2	0	0	2	4	0	2	0	0	0	0	0	0	1	1	0	0	0	2	4	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	11	0	2	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	2	1	0	2	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	3	0	0	3	3	1	2	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	1	2	4	0	2	1	2	1	0	0	0	0	4	1	0	0	0	5	0	0	0	1	1	0	1	1	1	2	1	0	0	1	2	1	0	0	1	0	0
